Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,Salary_Band,Risk_Adoption_Combo
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,Ux/Ui Design,111392.16524315962,Yes,Growth,Very High,High_Medium
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,93792.56246610906,No,Decline,High,High_Medium
Ai Researcher,Technology,Large,Singapore,Medium,High,Ux/Ui Design,107170.26306894996,Yes,Growth,Very High,High_Medium
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,93027.95375786416,No,Growth,High,High_Low
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,Javascript,87752.92217059238,Yes,Decline,Mid,Low_Low
Ux Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,102825.0078665678,No,Growth,High,Medium_Medium
Hr Manager,Finance,Medium,Singapore,Low,High,Sales,102065.72067347592,Yes,Growth,High,High_Low
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,86607.3176180969,Yes,Decline,Mid,Low_Medium
Ai Researcher,Retail,Large,London,High,Low,Javascript,75015.86084571481,No,Stable,Low,Low_High
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96834.57829480869,Yes,Decline,High,Low_High
Marketing Specialist,Finance,Small,London,High,High,Python,91566.97337925188,Yes,Growth,Mid,High_High
Ai Researcher,Entertainment,Medium,Singapore,Medium,High,Ux/Ui Design,78902.56574458485,No,Growth,Mid,High_Medium
Ai Researcher,Transportation,Large,San Francisco,High,Medium,Python,73151.99034926406,Yes,Growth,Low,Medium_High
Hr Manager,Retail,Small,Paris,Low,High,Cybersecurity,98209.51687788912,Yes,Decline,High,High_Low
Product Manager,Finance,Medium,Singapore,High,High,Javascript,101001.90114055388,Yes,Growth,High,High_High
Sales Manager,Telecommunications,Small,Dubai,High,Low,Ux/Ui Design,82799.35770690278,No,Growth,Mid,Low_High
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401.25928174148,No,Decline,Low,Medium_High
Ai Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,73394.89621925619,No,Stable,Low,High_Low
Product Manager,Finance,Large,San Francisco,Medium,High,Ux/Ui Design,97645.09878289838,Yes,Stable,High,High_Medium
Software Engineer,Entertainment,Small,Dubai,Low,Low,Ux/Ui Design,73920.45852718527,Yes,Growth,Low,Low_Low
Sales Manager,Retail,Medium,Sydney,Medium,Low,Javascript,134822.69138041462,Yes,Decline,Very High,Low_Medium
Data Scientist,Manufacturing,Small,Dubai,Medium,High,Javascript,81794.37128058006,Yes,Growth,Mid,High_Medium
Ux Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,41495.71444254798,No,Decline,Low,Medium_High
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,89396.5666674173,Yes,Decline,Mid,Medium_Medium
Operations Manager,Transportation,Medium,San Francisco,Low,Low,Ux/Ui Design,88539.33040362394,Yes,Stable,Mid,Low_Low
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,112234.37135048377,Yes,Stable,Very High,Low_Low
Ux Designer,Transportation,Large,Tokyo,Medium,High,Ux/Ui Design,95762.52473455408,No,Decline,High,High_Medium
Hr Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,73323.29633120395,Yes,Growth,Low,Low_High
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,84272.16253006447,Yes,Stable,Mid,High_High
Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,96548.39543301976,Yes,Growth,High,Medium_Low
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,46705.714993791786,Yes,Stable,Low,Medium_High
Hr Manager,Telecommunications,Large,London,Medium,High,Data Analysis,116772.434687809,Yes,Stable,Very High,High_Medium
Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,73376.6022839067,No,Growth,Low,Low_Medium
Hr Manager,Finance,Large,London,Low,Medium,Machine Learning,118340.87641895234,Yes,Stable,Very High,Medium_Low
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,97849.30282253175,Yes,Stable,High,Low_Medium
Sales Manager,Healthcare,Large,Dubai,Low,Medium,Javascript,102591.88272787948,Yes,Growth,High,Medium_Low
Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,112988.46872002544,Yes,Stable,Very High,High_Medium
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,101462.64105384996,Yes,Stable,High,High_Low
Software Engineer,Telecommunications,Small,New York,High,High,Python,103457.72432634902,Yes,Stable,High,High_High
Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Machine Learning,86711.67119077238,Yes,Growth,Mid,Medium_Medium
Operations Manager,Education,Small,Dubai,Medium,Low,Ux/Ui Design,97443.3736294419,Yes,Decline,High,Low_Medium
Software Engineer,Transportation,Small,London,Low,Low,Ux/Ui Design,78250.04370056515,Yes,Growth,Low,Low_Low
Ux Designer,Energy,Medium,Dubai,Low,Low,Javascript,83131.77800824065,Yes,Decline,Mid,Low_Low
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,129293.90095937817,No,Stable,Very High,Medium_Medium
Ux Designer,Entertainment,Large,Singapore,Low,Medium,Python,73836.12829899156,No,Decline,Low,Medium_Low
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,93086.3425327256,No,Growth,High,Medium_Medium
Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269.38073430952,No,Growth,High,Medium_High
Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,83784.91056438402,Yes,Stable,Mid,Medium_Low
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,100288.01873140877,No,Decline,High,Low_Medium
Ai Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,101794.44185482766,No,Stable,High,Medium_High
Hr Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,71483.61633704841,Yes,Stable,Low,Medium_High
Data Scientist,Finance,Large,Tokyo,Medium,Low,Sales,92027.13423093104,No,Growth,High,Low_Medium
Marketing Specialist,Energy,Medium,Paris,Low,Medium,Ux/Ui Design,68352.65322455287,No,Decline,Low,Medium_Low
Software Engineer,Technology,Large,Singapore,Medium,Low,Project Management,105770.97236634602,Yes,Decline,Very High,Low_Medium
Ai Researcher,Education,Medium,London,High,Low,Communication,93529.74620725252,Yes,Decline,High,Low_High
Marketing Specialist,Retail,Large,Toronto,Medium,High,Javascript,91646.59773434176,Yes,Decline,Mid,High_Medium
Software Engineer,Technology,Small,Paris,Low,High,Sales,103180.62697744806,No,Stable,High,High_Low
Product Manager,Transportation,Large,Paris,High,High,Cybersecurity,84489.79419063198,No,Stable,Mid,High_High
Product Manager,Entertainment,Large,Tokyo,Medium,High,Machine Learning,108280.43918436408,Yes,Growth,Very High,High_Medium
Ux Designer,Retail,Large,Toronto,Low,Medium,Project Management,71031.10254487729,Yes,Stable,Low,Medium_Low
Marketing Specialist,Retail,Large,San Francisco,High,High,Sales,118237.53037789057,No,Stable,Very High,High_High
Product Manager,Education,Medium,Berlin,Low,Low,Javascript,78981.77634890293,Yes,Growth,Mid,Low_Low
Software Engineer,Finance,Small,San Francisco,High,Medium,Ux/Ui Design,56076.41864608825,No,Growth,Low,Medium_High
Ux Designer,Education,Large,Toronto,Medium,High,Project Management,83429.30183074536,Yes,Growth,Mid,High_Medium
Software Engineer,Transportation,Medium,San Francisco,Low,Low,Javascript,81160.63605491581,Yes,Stable,Mid,Low_Low
Ux Designer,Telecommunications,Small,New York,High,Medium,Marketing,83278.52027699928,No,Stable,Mid,Medium_High
Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,94632.96030967963,Yes,Growth,High,Medium_Low
Ai Researcher,Finance,Small,New York,Low,High,Javascript,111956.84721776543,Yes,Growth,Very High,High_Low
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Medium,Sales,86165.88172205727,Yes,Growth,Mid,Medium_Medium
Operations Manager,Finance,Large,San Francisco,Low,Low,Project Management,76167.64860362199,No,Stable,Low,Low_Low
Ai Researcher,Healthcare,Large,Dubai,High,Medium,Sales,67469.06375432406,Yes,Stable,Low,Medium_High
Sales Manager,Telecommunications,Medium,London,High,Low,Data Analysis,80636.34417381912,Yes,Decline,Mid,Low_High
Software Engineer,Retail,Medium,Sydney,High,Medium,Cybersecurity,52243.50321499295,Yes,Stable,Low,Medium_High
Sales Manager,Energy,Medium,London,High,High,Data Analysis,75497.33812967277,Yes,Stable,Low,High_High
Ai Researcher,Entertainment,Small,Toronto,Medium,Low,Marketing,114881.07791724372,Yes,Stable,Very High,Low_Medium
Ux Designer,Transportation,Small,Paris,Low,Medium,Ux/Ui Design,73532.81590843154,Yes,Growth,Low,Medium_Low
Operations Manager,Technology,Large,Singapore,Medium,Medium,Python,102574.31721600612,No,Stable,High,Medium_Medium
Operations Manager,Finance,Small,San Francisco,Low,Medium,Cybersecurity,65470.358203830205,No,Growth,Low,Medium_Low
Data Scientist,Entertainment,Small,Tokyo,Low,Low,Marketing,125421.91798621108,Yes,Decline,Very High,Low_Low
Operations Manager,Technology,Small,Sydney,Low,Low,Sales,126752.1346612942,No,Decline,Very High,Low_Low
Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,Low,Sales,101820.43113119752,No,Growth,High,Low_Medium
Operations Manager,Energy,Medium,Berlin,Low,High,Sales,129825.05203287044,Yes,Growth,Very High,High_Low
Ai Researcher,Technology,Large,Berlin,Medium,High,Ux/Ui Design,97115.85949855324,No,Growth,High,High_Medium
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,105370.34228299111,No,Stable,Very High,Low_High
Ai Researcher,Manufacturing,Small,Berlin,High,Medium,Python,115238.6775346307,No,Decline,Very High,Medium_High
Ai Researcher,Education,Large,New York,Low,High,Sales,93594.369061969,No,Growth,High,High_Low
Hr Manager,Telecommunications,Small,Sydney,Medium,Low,Communication,58952.450768298775,No,Stable,Low,Low_Medium
